"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","key_press","button_pressed","choices","target","block","task","accuracy","video","condition","responses"
"pavlovia","0","8","0.0-0.0","","","","","","","","","","","","","",""
"fullscreen","1","2227","0.0-1.0","","true","","","","","","","","","","","",""
"audio-keyboard-response","2","5489","0.0-2.0","","","null","audio/instructions_practice.mp3","null","","","","","","","","",""
"html-button-response","3","6466","0.0-3.0","","","875","","","0","","","","","","","",""
"audio-keyboard-response","4","9841","0.0-4.0","","","null","audio/instructions_waitpicture.mp3","null","","","","","","","","",""
"html-button-response","5","10533","0.0-5.0-0.0","","","590","","","0","","","","","","","",""
"audio-button-response","6","12636","0.0-5.0-1.0-0.0","","","null","audio/flowerrecording1.mp3","","null","","","","","","","",""
"audio-button-response","7","13997","0.0-5.0-1.0-1.0","","","1259","audio/flowerrecording2.mp3","","0","pol_images/flower.jpg,pol_images/starfish.jpg,pol_images/toy.jpg,pol_images/pizza.jpg","pol_images/flower.jpg","intro","polysemy","true","","",""
"audio-keyboard-response","8","17100","0.0-5.0-2.0","","","null","audio/answer-correct.mp3","null","","","","","","","","",""
"html-button-response","9","17579","0.0-5.0-0.1","","","377","","","0","","","","","","","",""
"audio-button-response","10","19681","0.0-5.0-1.1-0.1","","","null","audio/shoerecording1.mp3","","null","","","","","","","",""
"audio-button-response","11","20241","0.0-5.0-1.1-1.1","","","458","audio/shoerecording2.mp3","","3","pol_images/teddybear.jpg,pol_images/sandwich.jpg,pol_images/stool.jpg,pol_images/shoe.jpg","pol_images/shoe.jpg","intro","polysemy","true","","",""
"audio-keyboard-response","12","23344","0.0-5.0-2.1","","","null","audio/answer-correct.mp3","null","","","","","","","","",""
"html-button-response","13","23753","0.0-5.0-0.2","","","308.00000000000364","","","0","","","","","","","",""
"audio-button-response","14","25857","0.0-5.0-1.2-0.2","","","null","audio/ballrecording1.mp3","","null","","","","","","","",""
"audio-button-response","15","26259","0.0-5.0-1.2-1.2","","","299","audio/ballrecording2.mp3","","2","pol_images/rose.jpg,pol_images/pumpkin.jpg,pol_images/ball.jpg,pol_images/parrot.jpg","pol_images/ball.jpg","intro","polysemy","true","","",""
"audio-keyboard-response","16","29361","0.0-5.0-2.2","","","null","audio/answer-correct.mp3","null","","","","","","","","",""
"html-button-response","17","29850","0.0-5.0-0.3","","","388","","","0","","","","","","","",""
"audio-button-response","18","31953","0.0-5.0-1.3-0.3","","","null","audio/bananarecording1.mp3","","null","","","","","","","",""
"audio-button-response","19","32539","0.0-5.0-1.3-1.3","","","483.0000000000073","audio/bananarecording2.mp3","","3","pol_images/wheel.jpg,pol_images/bib.jpg,pol_images/lamb.jpg,pol_images/banana.jpg","pol_images/banana.jpg","intro","polysemy","true","","",""
"audio-keyboard-response","20","35642","0.0-5.0-2.3","","","null","audio/answer-correct.mp3","null","","","","","","","","",""
"html-button-response","21","36107","0.0-5.0-0.4","","","363.9999999999927","","","0","","","","","","","",""
"audio-button-response","22","38211","0.0-5.0-1.4-0.4","","","null","audio/footrecording1.mp3","","null","","","","","","","",""
"audio-button-response","23","38602","0.0-5.0-1.4-1.4","","","290","audio/footrecording2.mp3","","1","pol_images/shoulder.jpg,pol_images/foot.jpg,pol_images/hand.jpg,pol_images/neck.jpg","pol_images/foot.jpg","intro","polysemy","true","","",""
"audio-keyboard-response","24","41705","0.0-5.0-2.4","","","null","audio/answer-correct.mp3","null","","","","","","","","",""
"html-button-response","25","42210","0.0-5.0-0.5","","","404","","","0","","","","","","","",""
"audio-button-response","26","44313","0.0-5.0-1.5-0.5","","","null","audio/busrecording1.mp3","","null","","","","","","","",""
"audio-button-response","27","44660","0.0-5.0-1.5-1.5","","","244","audio/busrecording2.mp3","","1","pol_images/kite.jpg,pol_images/bus.jpg,pol_images/broom.jpg,pol_images/elephant.jpg","pol_images/bus.jpg","intro","polysemy","true","","",""
"audio-keyboard-response","28","47763","0.0-5.0-2.5","","","null","audio/answer-correct.mp3","null","","","","","","","","",""
"html-button-response","29","48250","0.0-5.0-0.6","","","387","","","0","","","","","","","",""
"audio-button-response","30","50353","0.0-5.0-1.6-0.6","","","null","audio/mouthrecording1.mp3","","null","","","","","","","",""
"audio-button-response","31","50752","0.0-5.0-1.6-1.6","","","297.0000000000073","audio/mouthrecording2.mp3","","3","pol_images/eye.jpg,pol_images/ear.jpg,pol_images/nose.jpg,pol_images/mouth.jpg","pol_images/mouth.jpg","intro","polysemy","true","","",""
"audio-keyboard-response","32","53855","0.0-5.0-2.6","","","null","audio/answer-correct.mp3","null","","","","","","","","",""
"html-button-response","33","54513","0.0-5.0-0.7","","","555","","","0","","","","","","","",""
"audio-button-response","34","56616","0.0-5.0-1.7-0.7","","","null","audio/duckrecording1.mp3","","null","","","","","","","",""
"audio-button-response","35","57011","0.0-5.0-1.7-1.7","","","292.0000000000073","audio/duckrecording2.mp3","","2","pol_images/calf.jpg,pol_images/sheep.jpg,pol_images/duck.jpg,pol_images/horse.jpg","pol_images/duck.jpg","intro","polysemy","true","","",""
"audio-keyboard-response","36","60515","0.0-5.0-2.7","","","null","audio/answer-correct.mp3","null","","","","","","","","",""
"audio-keyboard-response","37","63117","0.0-6.0","","","null","audio/instructions_keepgoing.wav","null","","","","","","","","",""
"audio-keyboard-response","38","66400","0.0-7.0","","","null","audio/instructions_waitfull.mp3","null","","","","","","","","",""
"html-button-response","39","67150","0.0-8.0-0.0","","","648","","","0","","","","","","","",""
"audio-button-response","40","69732","0.0-8.0-1.0","","","2480","audio/sheetrecording.mp3","","3","pol_images/distractor22.jpg,pol_images/distractor48.jpg,pol_images/distractor20.jpg,pol_images/sheetA.jpg","pol_images/sheetA.jpg","choose","polysemy","true","","",""
"html-button-response","41","70281","0.0-8.0-0.1","","","448.00000000001455","","","0","","","","","","","",""
"audio-button-response","42","71608","0.0-8.0-1.1","","","1224","audio/glassesrecording-whichis.mp3","","1","pol_images/distractor32.jpg,pol_images/glassesC.jpg,pol_images/distractor39.jpg,pol_images/distractor5.jpg","pol_images/glassesC.jpg","choose","polysemy","true","","",""
"html-button-response","43","72101","0.0-8.0-0.2","","","391","","","0","","","","","","","",""
