"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","key_press","button_pressed","choices","target","block","task","accuracy","video","condition"
"html-button-response","78","131259","0.0-10.0-0.1","","","641.3799999863841","","","0","","","","","","",""
"audio-button-response","79","136366","0.0-10.0-1.1","","","null","audio/instructions_wowthesearecool.mp3","","null","pal_images/iconic_tub.jpg,pal_images/iconic_bib.jpg,pal_images/amb_boots.jpg,pal_images/iconic_table.jpg","","preview","pal","","",""
"html-button-response","80","137121","0.0-10.0-0.2","","","651.3100000447594","","","0","","","","","","",""
"audio-button-response","81","142229","0.0-10.0-1.2","","","null","audio/instructions_lookatthese.mp3","","null","pal_images/random4.jpg,pal_images/amb_button.jpg,pal_images/amb_pizza.jpg,pal_images/random7.jpg","","preview","pal","","",""
"html-button-response","82","142987","0.0-10.0-0.3","","","655.4350000224076","","","0","","","","","","",""
"audio-button-response","83","148096","0.0-10.0-1.3","","","null","audio/instructions_checktheseout.mp3","","null","pal_images/random3.jpg,pal_images/iconic_boat.jpg,pal_images/iconic_button.jpg,pal_images/iconic_boots.jpg","","preview","pal","","",""
"html-button-response","84","148808","0.0-11.0-0.0","","","610.3050000383519","","","0","","","","","","",""
"video-keyboard-response","85","152414","0.0-11.0-1.0","","","null","audio/instructions_alsogotogether.mp3","null","","","","teach","pal","","videos/cond1_newamb_button.mp4",""
"html-button-response","86","153148","0.0-11.0-0.1","","","631.9249999942258","","","0","","","","","","",""
"video-keyboard-response","87","156751","0.0-11.0-1.1","","","null","audio/instructions_alsogotogether.mp3","null","","","","teach","pal","","videos/cond1_newamb_bib.mp4",""
"html-button-response","88","157398","0.0-11.0-0.2","","","544.6700000320561","","","0","","","","","","",""
"video-keyboard-response","89","161003","0.0-11.0-1.2","","","null","audio/instructions_alsogotogether.mp3","null","","","","teach","pal","","videos/cond1_newamb_pizza.mp4",""
"html-button-response","90","161681","0.0-11.0-0.3","","","576.1000000056811","","","0","","","","","","",""
"video-keyboard-response","91","165291","0.0-11.0-1.3","","","null","audio/instructions_alsogotogether.mp3","null","","","","teach","pal","","videos/cond1_iconic_car1_MUTE.mp4",""
"html-button-response","92","165893","0.0-11.0-0.4","","","500.6699999794364","","","0","","","","","","",""
"video-keyboard-response","93","169498","0.0-11.0-1.4","","","null","audio/instructions_alsogotogether.mp3","null","","","","teach","pal","","videos/cond1_iconic_boat1_MUTE.mp4",""
"html-button-response","94","170311","0.0-11.0-0.5","","","710.1200000033714","","","0","","","","","","",""
"video-keyboard-response","95","173921","0.0-11.0-1.5","","","null","audio/instructions_alsogotogether.mp3","null","","","","teach","pal","","videos/cond1_iconic_tub1_MUTE.mp4",""
"html-button-response","96","174926","0.0-11.0-0.6","","","904.0750000276603","","","0","","","","","","",""
"video-keyboard-response","97","178532","0.0-11.0-1.6","","","null","audio/instructions_alsogotogether.mp3","null","","","","teach","pal","","videos/cond1_iconic_table1_MUTE.mp4",""
"html-button-response","98","179270","0.0-11.0-0.7","","","635.8800000161864","","","0","","","","","","",""
"video-keyboard-response","99","182873","0.0-11.0-1.7","","","null","audio/instructions_alsogotogether.mp3","null","","","","teach","pal","","videos/cond1_newamb_boots.mp4",""
"audio-keyboard-response","100","185328","0.0-12.0","","","null","audio/instructions_whichpictures.wav","null","","","","","","","",""
"html-button-response","101","186054","0.0-13.0-0.0","","","622.0349999493919","","","0","","","","","","",""
"image-button-response","102","188366","0.0-13.0-1.0","","","2208.3600000478327","pal_images/table.jpg","","0","pal_images/iconic_table.jpg,pal_images/random8.jpg","pal_images/iconic_table.jpg","test","pal","true","","1"
"html-button-response","103","189309","0.0-13.0-0.1","","","838.9450000249781","","","0","","","","","","",""
"image-button-response","104","190685","0.0-13.0-1.1","","","1271.2650000466965","pal_images/boat.jpg","","0","pal_images/iconic_boat.jpg,pal_images/random3.jpg","pal_images/iconic_boat.jpg","test","pal","true","","1"
"html-button-response","105","191562","0.0-13.0-0.2","","","773.5250000259839","","","0","","","","","","",""
"image-button-response","106","193555","0.0-13.0-1.2","","","1888.6399999610148","pal_images/bib.jpg","","1","pal_images/amb_bib.jpg,pal_images/iconic_bib.jpg","pal_images/amb_bib.jpg","test","pal","false","","1"
"html-button-response","107","194448","0.0-13.0-0.3","","","792.0350000495091","","","0","","","","","","",""
"image-button-response","108","195784","0.0-13.0-1.3","","","1233.7749999715015","pal_images/car.jpg","","0","pal_images/iconic_car.jpg,pal_images/random7.jpg","pal_images/iconic_car.jpg","test","pal","true","","1"
"html-button-response","109","196514","0.0-13.0-0.4","","","627.2849999950267","","","0","","","","","","",""
"image-button-response","110","198523","0.0-13.0-1.4","","","1905.945000005886","pal_images/button.jpg","","0","pal_images/amb_button.jpg,pal_images/iconic_button.jpg","pal_images/amb_button.jpg","test","pal","true","","1"
"html-button-response","111","199301","0.0-13.0-0.5","","","676.2450000387616","","","0","","","","","","",""
