"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","choices","target","block","task","accuracy"
"pavlovia","0","7","0.0-0.0","","","","","","","","","","",""
"fullscreen","1","403043","0.0-1.0","","true","","","","","","","","",""
"audio-button-response","2","404339","0.0-2.0","","","1193.925000000454","audio/instructions_practice.mp3","0","","","","","",""
"audio-keyboard-response","3","407791","0.0-3.0","","","null","audio/instructions_waitpicture.mp3","","null","","","","",""
"html-button-response","4","411101","0.0-4.0-0.0","","","3208.4150000000373","","0","","","","","",""
"audio-button-response","5","413209","0.0-4.0-1.0-0.0","","","null","audio/busrecording1.mp3","null","","","","","",""
"audio-button-response","6","418458","0.0-4.0-1.0-1.0","","","5142.365000000631","audio/busrecording2.mp3","0","","pol_images/bus.jpg,pol_images/kite.jpg,pol_images/elephant.jpg,pol_images/broom.jpg","pol_images/bus.jpg","intro","polysemy","true"
"audio-keyboard-response","7","421560","0.0-4.0-2.0","","","null","audio/answer-correct.mp3","","null","","","","",""
"html-button-response","8","422223","0.0-4.0-0.1","","","560.6750000006286","","0","","","","","",""
"audio-button-response","9","424328","0.0-4.0-1.1-0.1","","","null","audio/shoerecording1.mp3","null","","","","","",""
"audio-button-response","10","463722","0.0-4.0-1.1-1.1","","","39287.5949999998","audio/shoerecording2.mp3","0","","pol_images/sandwich.jpg,pol_images/teddybear.jpg,pol_images/stool.jpg,pol_images/shoe.jpg","pol_images/shoe.jpg","intro","polysemy","false"
"audio-keyboard-response","11","466831","0.0-4.0-2.1","","","null","audio/answer-error.mp3","","null","","","","",""
"html-button-response","12","538271","0.0-4.0-0.2","","","71335.40999999963","","0","","","","","",""
"audio-button-response","13","540380","0.0-4.0-1.2-0.2","","","null","audio/bananarecording1.mp3","null","","","","","",""
"audio-button-response","14","545770","0.0-4.0-1.2-1.2","","","5286.369999999879","audio/bananarecording2.mp3","3","","pol_images/bib.jpg,pol_images/lamb.jpg,pol_images/wheel.jpg,pol_images/banana.jpg","pol_images/banana.jpg","intro","polysemy","true"
"audio-keyboard-response","15","548878","0.0-4.0-2.2","","","null","audio/answer-correct.mp3","","null","","","","",""
"html-button-response","16","554511","0.0-4.0-0.3","","","5526.945000000531","","0","","","","","",""
"audio-button-response","17","556615","0.0-4.0-1.3-0.3","","","null","audio/duckrecording1.mp3","null","","","","","",""
"audio-button-response","18","559108","0.0-4.0-1.3-1.3","","","2391.1699999999255","audio/duckrecording2.mp3","0","","pol_images/sheep.jpg,pol_images/duck.jpg,pol_images/horse.jpg,pol_images/calf.jpg","pol_images/duck.jpg","intro","polysemy","false"
"audio-keyboard-response","19","562214","0.0-4.0-2.3","","","null","audio/answer-error.mp3","","null","","","","",""
