"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","key_press","button_pressed","choices","target","block","task","accuracy","video","condition"
"audio-button-response","40","86905","0.0-8.0-1.0","","","1398.7799999886192","audio/sheetrecording.mp3","","0","pol_images/distractor27.jpg,pol_images/distractor39.jpg,pol_images/sheetA.jpg,pol_images/distractor2.jpg","pol_images/sheetA.jpg","choose","polysemy","false","",""
"html-button-response","41","87639","0.0-8.0-0.1","","","630.1900000253227","","","0","","","","","","",""
"audio-button-response","42","88204","0.0-8.0-1.1","","","438.5500000207685","audio/balloonrecording.mp3","","0","pol_images/distractor29.jpg,pol_images/distractor48.jpg,pol_images/balloonC.jpg,pol_images/distractor52.jpg","pol_images/balloonC.jpg","choose","polysemy","false","",""
"html-button-response","43","88755","0.0-8.0-0.2","","","449.30499998736195","","","0","","","","","","",""
"audio-button-response","44","89220","0.0-8.0-1.2","","","358.9700000011362","audio/balloonrecording.mp3","","0","pol_images/balloonA.jpg,pol_images/distractor43.jpg,pol_images/distractor41.jpg,pol_images/distractor31.jpg","pol_images/balloonA.jpg","choose","polysemy","true","",""
"html-button-response","45","90067","0.0-8.0-0.3","","","743.0649999878369","","","0","","","","","","",""
"audio-button-response","46","90744","0.0-8.0-1.3","","","567.3949999909382","audio/caprecording.mp3","","0","pol_images/distractor49.jpg,pol_images/distractor38.jpg,pol_images/distractor17.jpg,pol_images/capA.jpg","pol_images/capA.jpg","choose","polysemy","false","",""
"html-button-response","47","91527","0.0-8.0-0.4","","","680.3250000230037","","","0","","","","","","",""
"audio-button-response","48","92057","0.0-8.0-1.4","","","423.86499998974614","audio/sheetrecording.mp3","","0","pol_images/sheetB.jpg,pol_images/distractor1.jpg,pol_images/distractor15.jpg,pol_images/distractor45.jpg","pol_images/sheetB.jpg","choose","polysemy","true","",""
"html-button-response","49","92839","0.0-8.0-0.5","","","675.1199999998789","","","0","","","","","","",""
"audio-button-response","50","93646","0.0-8.0-1.5","","","699.0299999888521","audio/glassesrecording-whichis.mp3","","0","pol_images/distractor8.jpg,pol_images/glassesA.jpg,pol_images/distractor14.jpg,pol_images/distractor25.jpg","pol_images/glassesA.jpg","choose","polysemy","false","",""
"html-button-response","51","94526","0.0-8.0-0.6","","","778.0350000248291","","","0","","","","","","",""
"audio-button-response","52","95073","0.0-8.0-1.6","","","436.4650000061374","audio/hornrecording.mp3","","0","pol_images/distractor30.jpg,pol_images/hornC.jpg,pol_images/distractor19.jpg,pol_images/distractor9.jpg","pol_images/hornC.jpg","choose","polysemy","false","",""
"html-button-response","53","95692","0.0-8.0-0.7","","","516.8199999898206","","","0","","","","","","",""
"audio-button-response","54","96222","0.0-8.0-1.7","","","415.6899999943562","audio/collarrecording.mp3","","0","pol_images/distractor44.jpg,pol_images/distractor46.jpg,pol_images/collarA.jpg,pol_images/distractor4.jpg","pol_images/collarA.jpg","choose","polysemy","false","",""
"html-button-response","55","96833","0.0-8.0-0.8","","","509.0900000068359","","","0","","","","","","",""
"audio-button-response","56","97331","0.0-8.0-1.8","","","390.1600000099279","audio/collarrecording.mp3","","0","pol_images/distractor53.jpg,pol_images/distractor13.jpg,pol_images/collarC.jpg,pol_images/distractor7.jpg","pol_images/collarC.jpg","choose","polysemy","false","",""
"html-button-response","57","98024","0.0-8.0-0.9","","","592.1200000157114","","","0","","","","","","",""
"audio-button-response","58","98546","0.0-8.0-1.9","","","412.58500001276843","audio/caprecording.mp3","","0","pol_images/capC.jpg,pol_images/distractor37.jpg,pol_images/distractor6.jpg,pol_images/distractor47.jpg","pol_images/capC.jpg","choose","polysemy","true","",""
"html-button-response","59","99116","0.0-8.0-0.10","","","468.64500001538545","","","0","","","","","","",""
"audio-button-response","60","100796","0.0-8.0-1.10","","","1569.5450000057463","audio/hornrecording.mp3","","0","pol_images/distractor24.jpg,pol_images/distractor28.jpg,pol_images/distractor16.jpg,pol_images/hornB.jpg","pol_images/hornB.jpg","choose","polysemy","false","",""
"html-button-response","61","101497","0.0-8.0-0.11","","","596.9399999885354","","","0","","","","","","",""
"audio-button-response","62","102067","0.0-8.0-1.11","","","463.2299999939278","audio/glassesrecording-whichis.mp3","","0","pol_images/distractor23.jpg,pol_images/distractor21.jpg,pol_images/glassesC.jpg,pol_images/distractor54.jpg","pol_images/glassesC.jpg","choose","polysemy","false","",""
"html-button-response","63","102686","0.0-8.0-0.12","","","514.6250000107102","","","0","","","","","","",""
"audio-button-response","64","103281","0.0-8.0-1.12","","","484.0750000148546","audio/glassesrecording-whichis.mp3","","0","pol_images/distractor42.jpg,pol_images/distractor5.jpg,pol_images/glassesB.jpg,pol_images/distractor50.jpg","pol_images/glassesB.jpg","choose","polysemy","false","",""
"html-button-response","65","103861","0.0-8.0-0.13","","","477.1400000026915","","","0","","","","","","",""
"audio-button-response","66","104407","0.0-8.0-1.13","","","439.055000024382","audio/balloonrecording.mp3","","0","pol_images/distractor35.jpg,pol_images/distractor32.jpg,pol_images/balloonB.jpg,pol_images/distractor22.jpg","pol_images/balloonB.jpg","choose","polysemy","false","",""
"html-button-response","67","105083","0.0-8.0-0.14","","","572.0799999835435","","","0","","","","","","",""
"audio-button-response","68","105655","0.0-8.0-1.14","","","461.59500000067055","audio/hornrecording.mp3","","0","pol_images/distractor3.jpg,pol_images/distractor40.jpg,pol_images/distractor11.jpg,pol_images/hornA.jpg","pol_images/hornA.jpg","choose","polysemy","false","",""
"html-button-response","69","106371","0.0-8.0-0.15","","","611.189999995986","","","0","","","","","","",""
"audio-button-response","70","106950","0.0-8.0-1.15","","","473.33000000799075","audio/collarrecording.mp3","","0","pol_images/distractor18.jpg,pol_images/distractor36.jpg,pol_images/distractor34.jpg,pol_images/collarB.jpg","pol_images/collarB.jpg","choose","polysemy","false","",""
"html-button-response","71","107985","0.0-8.0-0.16","","","930.5499999900348","","","0","","","","","","",""
"audio-button-response","72","108613","0.0-8.0-1.16","","","519.7500000067521","audio/sheetrecording.mp3","","0","pol_images/distractor33.jpg,pol_images/distractor10.jpg,pol_images/distractor26.jpg,pol_images/sheetC.jpg","pol_images/sheetC.jpg","choose","polysemy","false","",""
"html-button-response","73","109363","0.0-8.0-0.17","","","643.6000000103377","","","0","","","","","","",""
"audio-button-response","74","110105","0.0-8.0-1.17","","","629.4550000166055","audio/caprecording.mp3","","0","pol_images/distractor20.jpg,pol_images/distractor51.jpg,pol_images/distractor12.jpg,pol_images/capB.jpg","pol_images/capB.jpg","choose","polysemy","false","",""
"audio-keyboard-response","75","111545","0.0-9.0","","","null","audio/instructions_keepgoing.wav","null","","","","","","","",""
"html-button-response","76","112811","0.0-10.0-0.0","","","1161.1099999863654","","","0","","","","","","",""
"audio-button-response","77","117918","0.0-10.0-1.0","","","null","audio/instructions_checktheseout.mp3","","null","pal_images/random14.jpg,pal_images/iconic_snake.jpg,pal_images/iconic_lightning.jpg,pal_images/iconic_fox.jpg","","preview","pal","","",""
"html-button-response","78","118453","0.0-10.0-0.1","","","429.26500001340173","","","0","","","","","","",""
"audio-button-response","79","123557","0.0-10.0-1.1","","","null","audio/instructions_wowthesearecool.mp3","","null","pal_images/amb_fox.jpg,pal_images/random16.jpg,pal_images/amb_snake.jpg,pal_images/iconic_bib.jpg","","preview","pal","","",""
"html-button-response","80","124099","0.0-10.0-0.2","","","438.65999998524785","","","0","","","","","","",""
"audio-button-response","81","129204","0.0-10.0-1.2","","","null","audio/instructions_lookatthese.mp3","","null","pal_images/random13.jpg,pal_images/iconic_flag.jpg,pal_images/iconic_chair.jpg,pal_images/iconic_eye.jpg","","preview","pal","","",""
"html-button-response","82","129681","0.0-10.0-0.3","","","371.89999999827705","","","0","","","","","","",""
"audio-button-response","83","134787","0.0-10.0-1.3","","","null","audio/instructions_wowthesearecool.mp3","","null","pal_images/iconic_boots.jpg,pal_images/random3.jpg,pal_images/random7.jpg,pal_images/amb_chair.jpg","","preview","pal","","",""
"html-button-response","84","136011","0.0-11.0-0.0","","","1122.9150000144728","","","0","","","","","","",""
"video-keyboard-response","85","139649","0.0-11.0-1.0","","","null","audio/instructions_alsogotogether.mp3","null","","","","teach","pal","","videos/cond2_iconic_bib1_MUTE.mp4",""
"html-button-response","86","150212","0.0-11.0-0.1","","","10458.729999983916","","","0","","","","","","",""
"video-keyboard-response","87","153818","0.0-11.0-1.1","","","null","audio/instructions_alsogotogether.mp3","null","","","","teach","pal","","videos/cond2_iconic_eye1_MUTE.mp4",""
"html-button-response","88","157121","0.0-11.0-0.2","","","3197.7199999964796","","","0","","","","","","",""
"video-keyboard-response","89","160727","0.0-11.0-1.2","","","null","audio/instructions_alsogotogether.mp3","null","","","","teach","pal","","videos/cond2_newamb_chair.mp4",""
"html-button-response","90","164171","0.0-11.0-0.3","","","3341.1699999996927","","","0","","","","","","",""
"video-keyboard-response","91","167782","0.0-11.0-1.3","","","null","audio/instructions_alsogotogether.mp3","null","","","","teach","pal","","videos/cond2_newamb_fox.mp4",""
"html-button-response","92","171080","0.0-11.0-0.4","","","3196.914999978617","","","0","","","","","","",""
"video-keyboard-response","93","174687","0.0-11.0-1.4","","","null","audio/instructions_alsogotogether.mp3","null","","","","teach","pal","","videos/cond2_iconic_boots1_MUTE.mp4",""
"html-button-response","94","177219","0.0-11.0-0.5","","","2425.2700000070035","","","0","","","","","","",""
"video-keyboard-response","95","180828","0.0-11.0-1.5","","","null","audio/instructions_alsogotogether.mp3","null","","","","teach","pal","","videos/cond2_iconic_lightning1_MUTE.mp4",""
"html-button-response","96","181308","0.0-11.0-0.6","","","377.0749999966938","","","0","","","","","","",""
"video-keyboard-response","97","184913","0.0-11.0-1.6","","","null","audio/instructions_alsogotogether.mp3","null","","","","teach","pal","","videos/cond2_iconic_flag1_MUTE.mp4",""
"html-button-response","98","186544","0.0-11.0-0.7","","","1529.164999985369","","","0","","","","","","",""
"video-keyboard-response","99","190151","0.0-11.0-1.7","","","null","audio/instructions_alsogotogether.mp3","null","","","","teach","pal","","videos/cond2_newamb_snake.mp4",""
"audio-keyboard-response","100","192612","0.0-12.0","","","null","audio/instructions_whichpictures.wav","null","","","","","","","",""
"html-button-response","101","194410","0.0-13.0-0.0","","","1691.8700000096578","","","0","","","","","","",""
"image-button-response","102","199978","0.0-13.0-1.0","","","5459.964999987278","pal_images/flag.jpg","","1","pal_images/random13.jpg,pal_images/iconic_flag.jpg","pal_images/iconic_flag.jpg","test","pal","true","","2"
"html-button-response","103","200703","0.0-13.0-0.1","","","618.175000010524","","","0","","","","","","",""
"image-button-response","104","210755","0.0-13.0-1.1","","","9947.14999999269","pal_images/snake.jpg","","1","pal_images/amb_snake.jpg,pal_images/iconic_snake.jpg","pal_images/amb_snake.jpg","test","pal","false","","2"
"html-button-response","105","211424","0.0-13.0-0.2","","","565.1700000162236","","","0","","","","","","",""
"image-button-response","106","217497","0.0-13.0-1.2","","","5968.334999983199","pal_images/chair.jpg","","0","pal_images/amb_chair.jpg,pal_images/iconic_chair.jpg","pal_images/amb_chair.jpg","test","pal","true","","2"
"html-button-response","107","221745","0.0-13.0-0.3","","","4141.089999990072","","","0","","","","","","",""
"image-button-response","108","234410","0.0-13.0-1.3","","","12557.600000000093","pal_images/eye.jpg","","0","pal_images/random3.jpg,pal_images/iconic_eye.jpg","pal_images/iconic_eye.jpg","test","pal","false","","2"
"html-button-response","109","238846","0.0-13.0-0.4","","","4331.2499999883585","","","0","","","","","","",""
"image-button-response","110","247244","0.0-13.0-1.4","","","8289.760000014212","pal_images/boots.jpg","","1","pal_images/random14.jpg,pal_images/iconic_boots.jpg","pal_images/iconic_boots.jpg","test","pal","true","","2"
"html-button-response","111","247913","0.0-13.0-0.5","","","563.9050000172574","","","0","","","","","","",""
"image-button-response","112","249307","0.0-13.0-1.5","","","1286.0900000086986","pal_images/lightning.jpg","","1","pal_images/iconic_lightning.jpg,pal_images/random16.jpg","pal_images/iconic_lightning.jpg","test","pal","false","","2"
"html-button-response","113","256203","0.0-13.0-0.6","","","6789.894999994431","","","0","","","","","","",""
"image-button-response","114","263039","0.0-13.0-1.6","","","6730.139999999665","pal_images/bib.jpg","","1","pal_images/iconic_bib.jpg,pal_images/random7.jpg","pal_images/iconic_bib.jpg","test","pal","false","","2"
"html-button-response","115","263740","0.0-13.0-0.7","","","598.0949999939185","","","0","","","","","","",""
"image-button-response","116","269975","0.0-13.0-1.7","","","6124.344999989262","pal_images/fox.jpg","","1","pal_images/amb_fox.jpg,pal_images/iconic_fox.jpg","pal_images/amb_fox.jpg","test","pal","false","","2"
