"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","key_press","button_pressed","choices","target","block","task","accuracy","video","condition","responses"
"audio-button-response","58","75292","0.0-8.0-1.9","","","351","audio/collarrecording.mp3","","0","pol_images/distractor11.jpg,pol_images/distractor25.jpg,pol_images/collarA.jpg,pol_images/distractor10.jpg","pol_images/collarA.jpg","choose","polysemy","false","","",""
"html-button-response","59","75647","0.0-8.0-0.10","","","253","","","0","","","","","","","",""
"audio-button-response","60","76051","0.0-8.0-1.10","","","302","audio/hornrecording.mp3","","0","pol_images/distractor24.jpg,pol_images/distractor20.jpg,pol_images/hornC.jpg,pol_images/distractor47.jpg","pol_images/hornC.jpg","choose","polysemy","false","","",""
"html-button-response","61","76398","0.0-8.0-0.11","","","245","","","0","","","","","","","",""
"audio-button-response","62","76810","0.0-8.0-1.11","","","306.99999999998545","audio/caprecording.mp3","","0","pol_images/distractor54.jpg,pol_images/distractor29.jpg,pol_images/distractor22.jpg,pol_images/capB.jpg","pol_images/capB.jpg","choose","polysemy","false","","",""
"html-button-response","63","77198","0.0-8.0-0.12","","","285","","","0","","","","","","","",""
"audio-button-response","64","77586","0.0-8.0-1.12","","","286","audio/sheetrecording.mp3","","0","pol_images/distractor26.jpg,pol_images/distractor18.jpg,pol_images/sheetA.jpg,pol_images/distractor43.jpg","pol_images/sheetA.jpg","choose","polysemy","false","","",""
"html-button-response","65","77941","0.0-8.0-0.13","","","254","","","0","","","","","","","",""
"audio-button-response","66","78361","0.0-8.0-1.13","","","319","audio/collarrecording.mp3","","0","pol_images/distractor30.jpg,pol_images/collarB.jpg,pol_images/distractor53.jpg,pol_images/distractor42.jpg","pol_images/collarB.jpg","choose","polysemy","false","","",""
"html-button-response","67","78717","0.0-8.0-0.14","","","254","","","0","","","","","","","",""
"audio-button-response","68","79112","0.0-8.0-1.14","","","294","audio/glassesrecording-whichis.mp3","","0","pol_images/glassesA.jpg,pol_images/distractor12.jpg,pol_images/distractor49.jpg,pol_images/distractor48.jpg","pol_images/glassesA.jpg","choose","polysemy","true","","",""
"html-button-response","69","79484","0.0-8.0-0.15","","","269","","","0","","","","","","","",""
"audio-button-response","70","79856","0.0-8.0-1.15","","","270","audio/glassesrecording-whichis.mp3","","0","pol_images/distractor13.jpg,pol_images/distractor40.jpg,pol_images/distractor36.jpg,pol_images/glassesC.jpg","pol_images/glassesC.jpg","choose","polysemy","false","","",""
"html-button-response","71","80219","0.0-8.0-0.16","","","262","","","0","","","","","","","",""
"audio-button-response","72","80583","0.0-8.0-1.16","","","261","audio/sheetrecording.mp3","","0","pol_images/distractor28.jpg,pol_images/sheetC.jpg,pol_images/distractor19.jpg,pol_images/distractor46.jpg","pol_images/sheetC.jpg","choose","polysemy","false","","",""
"html-button-response","73","80914","0.0-8.0-0.17","","","230","","","0","","","","","","","",""
"audio-button-response","74","81310","0.0-8.0-1.17","","","294.99999999998545","audio/sheetrecording.mp3","","0","pol_images/distractor3.jpg,pol_images/sheetB.jpg,pol_images/distractor15.jpg,pol_images/distractor27.jpg","pol_images/sheetB.jpg","choose","polysemy","false","","",""
"audio-keyboard-response","75","82748","0.0-9.0","","","null","audio/instructions_keepgoing.wav","null","","","","","","","","",""
"html-button-response","76","83417","0.0-10.0-0.0","","","567","","","0","","","","","","","",""
"video-keyboard-response","77","87025","0.0-10.0-1.0","","","null","audio/instructions_gotogether.mp3","null","","","","teach","pal","","videos/cond2_newamb_fox.mp4","",""
"html-button-response","78","90607","0.0-10.0-0.1","","","3481","","","0","","","","","","","",""
"video-keyboard-response","79","94212","0.0-10.0-1.1","","","null","audio/instructions_gotogether.mp3","null","","","","teach","pal","","videos/cond2_iconic_flag1_MUTE.mp4","",""
"html-button-response","80","95381","0.0-10.0-0.2","","","1068.0000000000146","","","0","","","","","","","",""
"video-keyboard-response","81","98985","0.0-10.0-1.2","","","null","audio/instructions_gotogether.mp3","null","","","","teach","pal","","videos/cond2_newamb_snake.mp4","",""
"html-button-response","82","99626","0.0-10.0-0.3","","","539.0000000000146","","","0","","","","","","","",""
"video-keyboard-response","83","103230","0.0-10.0-1.3","","","null","audio/instructions_gotogether.mp3","null","","","","teach","pal","","videos/cond2_iconic_button1_MUTE.mp4","",""
"html-button-response","84","103746","0.0-10.0-0.4","","","414","","","0","","","","","","","",""
"video-keyboard-response","85","107352","0.0-10.0-1.4","","","null","audio/instructions_alsogotogether.mp3","null","","","","teach","pal","","videos/cond2_newamb_chair.mp4","",""
"html-button-response","86","107785","0.0-10.0-0.5","","","332","","","0","","","","","","","",""
"video-keyboard-response","87","111389","0.0-10.0-1.5","","","null","audio/instructions_alsogotogether.mp3","null","","","","teach","pal","","videos/cond2_iconic_pizza1_MUTE.mp4","",""
"html-button-response","88","111784","0.0-10.0-0.6","","","293.00000000001455","","","0","","","","","","","",""
"video-keyboard-response","89","115389","0.0-10.0-1.6","","","null","audio/instructions_alsogotogether.mp3","null","","","","teach","pal","","videos/cond2_iconic_lightning1_MUTE.mp4","",""
"html-button-response","90","115822","0.0-10.0-0.7","","","331","","","0","","","","","","","",""
